channel,video_id,title,keyword,published_at,CommentId,CommentTitle,CommentCreationTime,CommentLikes
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgyTmquiT5dQzLQDGx14AaABAg,"Thank you Rep Goldman.  My family is voting Blue down the ticket 2024 (Dem, Non-Partisan, GOP)",2024-02-13T23:50:18Z,72
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,Ugyqa2KpxMk5R1Zu-Jl4AaABAg,"I cannot thank you enough Congressman Goldman, for holding up truth!!! You are a brave and upstanding man.",2024-02-14T00:35:51Z,19
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgwsUuRJQd0fho5q93h4AaABAg,We are wasting our tax dollars paying their Salaries!!!,2024-02-13T23:26:07Z,72
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgxktZJi6FWoxbQyRcl4AaABAg,"Every day, I'm reminded of my good judgement in NOT voting Republican.",2024-02-13T23:53:40Z,103
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgxKZke4NKci_cG6drp4AaABAg,The GQP is an utterly embarrassing dumpster fire.,2024-02-13T22:23:32Z,136
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,Ugyx87G-VC4MvW_XoPd4AaABAg,"Extremest views, yes, but Mike Johnson is doing anything Donald wants. The republicans/ MAGAs need to lose their pay for the year.",2024-02-13T22:28:52Z,86
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,Ugz-Rjy_tTxaiHxmtQd4AaABAg,I would like to know why the GQP hate America so much.,2024-02-14T00:02:20Z,20
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgzrNMcwFo_EfSlOPbx4AaABAg,"I don't want another Putin / trump administration. No, I don't.",2024-02-13T22:30:26Z,146
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgyVjx9kVylU7R66N2J4AaABAg,Love Rep. Goldman - he's so smart and honest and well spoken.,2024-02-13T23:38:14Z,33
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,UgzJmGW8YQESa1jxyAt4AaABAg,"Another stupid vote on the same thing that was voted down last week instead of passing the Aid bill, or for that matter the Border bill.  They are officially insane.",2024-02-13T22:34:29Z,42
MSNBC,NUa9VxDpOVY,Rep. Goldman: ‘The extreme MAGA right views bi-partisanship as a four letter word’,Extremism,2024-02-13T22:09:26Z,Ugxx7jKT0we7CyrRZK54AaABAg,"Mike Johnson isn't a Christian.  Real Christians try to follow Jesus' teachings,  especially to treat others in the way that we want to be treated. "".... love one another just as I have loved you...."" Jesus 📖",2024-02-13T23:20:02Z,23
